track,artist,album,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
In The City,Chromatics,In The City,0o6xNkQZVcfPP22gC0ON7w,0.799,0.547,1,-8.637,0,0.0317,0.554,0.208,0.188,106.21,433147,4
Breathe,Fabolous,Real Talk (123),7fuoqve1SOEBmhc2PoQTF0,0.713,0.91,10,-5.586,0,0.282,0.0,0.304,0.51,83.028,268960,4
Good Fortune,PJ Harvey,"Stories From The City, Stories From The Sea",1G1YJPV7THViQfOM9Gug7R,0.552,0.669,7,-4.462,1,0.0329,0.0467,0.0781,0.561,126.092,200200,4
Modern Kicks,The Exploding Hearts,Guitar Romantic,1EbeI2AlUNkm6o00x0XMb9,0.344,0.988,4,0.321,1,0.0539,0.0,0.316,0.737,141.875,198800,4
Bomb Intro / Pass That Dutch,Missy Elliott,This Is Not a Test!,1MaI6NwdrqnE3mRzOYTpoo,0.899,0.645,10,-11.621,0,0.271,0.101,0.358,0.348,110.895,217200,4
Spring Hall Convert,Deerhunter,Cryptograms,4maHXbQz9mcLbF6XKQKG7j,0.29,0.835,7,-8.839,1,0.0493,0.887,0.199,0.197,112.075,269573,4
Avril 14th,Aphex Twin,Drukqs,2MZSXhq4XDJWu6coGoXX1V,0.558,0.0259,8,-30.016,1,0.0458,0.871,0.0969,0.37,157.811,125520,4
The Crystal Lake,Grandaddy,The Sophtware Slump,5GLDy4vcd6gDvhxidvovFX,0.524,0.693,3,-6.846,1,0.0284,0.00834,0.314,0.2,125.975,300133,4
The Man Comes Around,Johnny Cash,American IV: The Man Comes Around,3Jq9rsqmRtqcVKtzP9dnxZ,0.635,0.584,0,-7.912,1,0.144,0.0951,0.962,0.753,97.067,266733,4
Strange Overtones,David Byrne,Everything That Happens Will Happen Today,7wXJyWtRktzx7shORVNX5B,0.694,0.838,1,-6.942,1,0.0465,0.00326,0.612,0.809,109.976,256493,4
Your Ex-Lover Is Dead,Stars,Set Yourself On Fire,5oSSFX46m6u3UFLoouLlTw,0.395,0.5,0,-6.794,1,0.031,0.0284,0.207,0.333,153.306,256053,3
Let's Make Love and Listen to Death From Above,CSS,Cansei De Ser Sexy,1Jd9W7k8DTnBSovDSxK77n,0.699,0.784,10,-5.205,0,0.0329,0.00735,0.192,0.702,119.987,211183,4
Upward Over the Mountain,Iron & Wine,The Creek Drank the Cradle,7fLBwcH8ixVT0kD5KFqfu7,0.612,0.276,7,-11.932,1,0.0358,0.863,0.0867,0.205,98.606,356160,4
Kissing the Lipless,The Shins,Chutes Too Narrow,1iIoUbR480BnaIXi2MPNz1,0.622,0.423,6,-7.274,1,0.032,3.28e-05,0.114,0.146,140.279,199253,4
Cone Toaster,Various Artists,DFA Records Compilation #1,0D5HZGTwed2h3q9l03Cjas,0.485,0.754,11,-8.61,1,0.329,0.526,0.158,0.239,137.507,537627,4
Shake Ya Ass,Mystikal,Let's Get Ready,1jRzdY7oUBOhrylNtiMtBD,0.914,0.607,7,-5.658,1,0.32,0.0,0.0515,0.666,98.054,256973,4
Shine a Light,Wolf Parade,Apologies to the Queen Mary,3LDd0iCbcOrNT2iTQjtHx4,0.469,0.988,9,-5.318,1,0.0442,0.0272,0.111,0.622,132.508,227360,4
Feel Good Inc.,Gorillaz,Demon Days,0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0.177,0.00233,0.613,0.772,138.559,222640,4
Roscoe,Midlake,The Trials of Van Occupanther,01qJhVPCHFFR6wJ5ptyw17,0.556,0.703,8,-8.304,0,0.0319,1.13e-05,0.131,0.564,121.739,286880,4
For Real,Okkervil River,Black Sheep Boy (10th Anniversary Edition),4vQGdbtvWH4qj3i0ixVYuC,0.35,0.59,2,-7.076,1,0.0389,0.000794,0.107,0.459,102.299,282627,4
Ladyflash,The Go! Team,"Thunder, Lightning, Strike",4iMRg0QlDbAr6zcPvthSxj,0.562,0.959,3,-5.288,1,0.0543,0.534,0.17,0.711,115.406,256027,4
She Sends Kisses,The Wrens,The Meadowlands,1qpfUCTW7djdYxEqVcRbZr,0.262,0.607,5,-6.561,1,0.0281,0.000598,0.0898,0.169,139.844,357347,4
Miura,Metro Area,Metro Area (15th Anniversary Edition),7wu4CDoKfHqbaJCNO2qvza,0.818,0.614,2,-8.265,1,0.0416,0.869,0.117,0.665,123.013,404575,4
"Hold On, Hold On",Neko Case,Fox Confessor Brings The Flood (Bonus Track Version),3S80U4lmgrsYM9Ew93Z82P,0.466,0.8,5,-5.016,0,0.0304,2.33e-06,0.321,0.43,119.33,166587,4
My Red Hot Car,Squarepusher,Go Plastic,2wjbR0QM2uRIz8QacUE494,0.752,0.695,2,-11.403,1,0.0602,0.904,0.108,0.662,142.008,282067,4
One With the Freaks,The Notwist,Neon Golden,7rXbEY29mK1R8Dg86DJNvy,0.764,0.421,4,-10.752,1,0.0469,0.0263,0.149,0.854,127.925,218693,4
Promise,Ciara,The Evolution,1pLdjo3lOBbMaoR4ZpybFH,0.697,0.629,9,-5.757,1,0.0425,3.8e-06,0.0819,0.439,123.279,267413,4
smile around the face,Four Tet,Everything Ecstatic,2CjWcXkO2GXohSBBgDa7n3,0.729,0.649,8,-10.286,1,0.117,0.00414,0.103,0.765,105.481,274253,4
"Uzi (Pinky Ring) (feat. U-God, Raekwon, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa & GZA)",Wu-Tang Clan,Wu-Tang Iron Flag,1fCs3LuvVDSnLss2Dy7vt8,0.787,0.882,6,-4.518,0,0.297,0.0,0.0559,0.504,103.72,320200,4
I Need Your Love,The Rapture,Echoes,5FSg58UhsBBiel4Frple6L,0.809,0.822,9,-6.845,0,0.0345,0.16,0.638,0.965,124.937,279615,4
Cold Days from the Birdhouse,The Twilight Sad,Fourteen Autumns and Fifteen Winters,2HId3BINIn4znnME9nodGo,0.505,0.657,9,-4.694,1,0.0297,0.000292,0.604,0.216,126.078,373267,4
Like Glue,Sean Paul,Dutty Rock,6pbCkvCENw0suVGr4Ckkae,0.757,0.78,1,-5.038,1,0.319,0.0,0.113,0.59,97.917,232507,4
Cheated Hearts,Yeah Yeah Yeahs,Show Your Bones,5AwS3yu3w9BT2eHBMnFDLc,0.582,0.918,9,-5.716,1,0.0785,0.0277,0.0714,0.196,136.574,238040,4
Walcott,Vampire Weekend,Vampire Weekend,0BZY839qKXibapu4S0GYE2,0.398,0.56,5,-5.448,1,0.0312,0.0151,0.224,0.59,160.71,221600,4
Schrapnell,Isolée,We Are Monster,0QiQ0navzUdvATVkDFj4Rl,0.86,0.61,0,-10.435,1,0.0579,0.819,0.325,0.726,126.026,261550,4
Hendrix With Ko,Caribou,Up In Flames (Special Edition),3n2NxAlF4fU8EgMqm3MtFd,0.672,0.866,7,-9.14,1,0.0413,0.765,0.366,0.709,131.724,237307,4
Fake Palindromes,Andrew Bird,The Mysterious Production of Eggs,50woGYhAqV3KXvO1LG4zLg,0.458,0.64,2,-6.367,1,0.0579,0.000595,0.314,0.315,144.387,172840,3
Whispers - Radio Edit,Aeroplane feat. Kathy Diamond,Whispers,3nDwe4DWDsFk5WvA3eRWX1,0.672,0.885,2,-7.317,0,0.0316,0.185,0.0654,0.882,115.983,232716,4
A Movie Script Ending,Death Cab for Cutie,The Photo Album,0AHINsVlQQH5w9kXqvyNod,0.5,0.789,9,-6.455,1,0.0278,0.123,0.111,0.481,91.995,259480,4
While You Wait For The Others,Grizzly Bear,Veckatimest,6ISgf39hqL5wImQpRrLcCr,0.551,0.463,6,-7.642,0,0.0387,0.00145,0.101,0.328,80.44,269707,4
MBGATE,Max Tundra,Mastered by Guy at The Exchange,7M754Uq8gLowrRiOFaRCMu,0.907,0.639,10,-7.594,1,0.369,0.334,0.105,0.428,127.391,147293,4
Eple,Röyksopp,Melody A.M.,7pbEKdMWHGwPQSDGfcNycM,0.68,0.849,6,-5.295,1,0.0444,0.0694,0.108,0.806,106.486,218320,4
Mistaken for Strangers,The National,Boxer,2d60QBTD1OIpbb1YxlllM8,0.539,0.925,5,-5.303,1,0.0313,0.87,0.298,0.751,133.008,210960,4
O Valencia!,The Decemberists,The Crane Wife,221bl0jrSfJ1LMgUw36zRJ,0.531,0.765,0,-7.844,1,0.0349,0.000313,0.209,0.452,135.457,227907,4
The Empty Page,Sonic Youth,Murray St.,081MBpHg0quLggkWgBQUcS,0.572,0.577,0,-12.387,1,0.0335,0.0445,0.0924,0.17,123.309,259173,4
Something Isn't Right,Herbert,Scale,4pyEiYJSJvK6Q2o39vVHYp,0.944,0.559,10,-6.646,0,0.038,0.000103,0.0696,0.825,112.982,224920,4
Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,7bzzC7QIfflM9eEj2aqaYX,0.533,0.426,8,-8.505,0,0.0273,0.000488,0.101,0.274,97.905,265773,4
Do You Want To,Franz Ferdinand,You Could Have It So Much Better,6WrnSlcN0dzTO80mVVbBto,0.412,0.944,0,-2.896,1,0.0448,0.000493,0.801,0.79,123.091,215000,4
The Moon,The Microphones,"The Glow, Pt. 2",4pbEwQiDjPln3oYlijXuOE,0.201,0.718,7,-9.821,1,0.0657,0.789,0.135,0.159,149.734,316640,4
Hustler Musik,Lil Wayne,Tha Carter II,2334WaCjswLcRIRgTTPWaZ,0.661,0.746,8,-2.223,0,0.25,0.0,0.454,0.678,83.935,303667,4
Aeon,Antony and the Johnsons,The Crying Light,0WmlYL5YNzlb43mx5tjWim,0.325,0.324,5,-10.068,0,0.0293,0.0166,0.181,0.147,106.387,274613,3
Cursed Sleep - Live,Bonnie Prince Billy,Is It The Sea?,1f58b1tXHK78JLPKVQUDBG,0.306,0.486,7,-7.59,0,0.0345,0.000549,0.101,0.144,137.08,471467,3
Daylight,Aesop Rock,Labor Days,3COHXcLRK9brRjMolzkD7Y,0.564,0.758,11,-6.85,1,0.283,0.00109,0.376,0.597,92.674,266107,4
Van Helsing Boombox,Man Man,Six Demon Bag,7zA2YMrWnsm3NFqGWX29FF,0.356,0.608,3,-7.345,1,0.0324,0.00309,0.124,0.584,178.978,224253,4
Throw Some D's,Rich Boy,Rich Boy,6SmPPtaMnfxgz5duA6t9Cu,0.697,0.86,11,-5.181,1,0.43,0.0,0.0721,0.433,160.895,263920,4
Apply Some Pressure,Maximo Park,A Certain Trigger,19503qDaxgCdPL2BhJngij,0.378,0.953,9,-3.632,1,0.138,2.89e-05,0.0936,0.512,167.808,200347,4
Matadjem Yinmixan,Tinariwen,Aman Iman: Water Is Life,3fzVWq9kHQPTDuloCgOwqA,0.674,0.692,7,-6.789,1,0.0347,0.234,0.0543,0.536,104.819,345000,4
Milk Man,Deerhoof,Milk Man (Remastered),43kNyAZ1uRRn63ZbEX24XS,0.639,0.556,6,-7.023,1,0.0456,0.795,0.0668,0.544,119.481,263693,3
Young Hearts Spark Fire,Japandroids,Post-Nothing,1yzTpiDikPPDa9gudLm0tA,0.205,0.936,2,-4.552,1,0.0926,0.379,0.126,0.146,112.265,303351,4
I Found A Reason,Cat Power,The Covers Record,5Qzn59M5Q228urubQD9cES,0.484,0.0577,1,-11.965,1,0.0344,1.42e-06,0.154,0.459,103.293,120800,3
In A Beautiful Place Out In The Country,Boards of Canada,In A Beautiful Place Out In The Country,1ilA1w8ewwREeAEHY2rqKa,0.636,0.253,7,-14.707,0,0.0385,0.873,0.0866,0.0427,98.541,367480,4
Rock Bottom Riser,Smog,A River Ain't Too Much To Love,0156mBVyNBhkjFH2G1psHE,0.54,0.215,11,-15.667,1,0.0353,0.546,0.095,0.104,158.325,344907,3
Untitled #1 - Vaka,Sigur Rós,( ),331TLlSwGbVcNKJMkylNbK,0.128,0.133,8,-13.919,1,0.0385,0.657,0.105,0.0397,66.897,398320,3
The Skin of My Yellow Country Teeth,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,57rAvblBMBmdPBugRF1T77,0.456,0.971,0,-5.159,1,0.0678,0.000205,0.128,0.397,141.567,343773,4
Everything Reminds Me Of Her,Elliott Smith,Figure 8,3nkdVXnH4xC6f3YZS0C8pC,0.346,0.175,10,-17.192,1,0.0427,0.000263,0.154,0.357,168.045,157733,4
Dog Days,Matthew Dear,Leave Luck to Heaven,5egv7N5vsPSgajtrcalBoM,0.883,0.811,1,-4.833,1,0.137,0.884,0.0682,0.6,127.0,366760,4
The Modern Leper,Frightened Rabbit,The Midnight Organ Fight,3aunzvczA4MkwIrHuARjqM,0.438,0.921,2,-4.375,1,0.0812,4.2e-05,0.127,0.299,112.417,228453,4
So Much Love to Give,Various Artists,"Best of French Touch, Vol. 1",3oFjPwI5Z2cvJfP31nECH8,0.624,0.545,2,-6.072,1,0.0696,0.0,0.448,0.127,127.188,647467,4
Swastika Eyes - Jagz Kooner Mix,Primal Scream,XTRMNTR,1lfWv1wU2TwgBdDnyieHWJ,0.465,0.95,9,-7.162,0,0.0373,0.361,0.191,0.31,133.759,423960,4
French Navy,Camera Obscura,My Maudlin Career,7Mb0qE443GpOcgkmgS4lP1,0.431,0.851,2,-4.052,1,0.0444,0.0,0.214,0.646,137.146,198893,4
The F-Word,Cannibal Ox,The Cold Vein (Deluxe Edition),1PzS9g32U47RO7MJxLXXQu,0.613,0.852,11,-3.722,0,0.241,5.7e-06,0.817,0.447,89.036,327600,4
Young Adult Friction,The Pains Of Being Pure At Heart,The Pains of Being Pure at Heart,6DQdSxAihGualboMJt2vcg,0.462,0.724,11,-6.832,0,0.0394,0.15,0.0587,0.824,163.079,243930,4
What Else Is There?,Röyksopp,The Understanding,238vPTkV2cKupWDnAietb6,0.704,0.927,9,-7.157,1,0.0436,0.108,0.325,0.342,114.994,317092,4
Stepfather Factory,El-P,Fantastic Damage,4v0AFz0KGhnH6Ppmz3QjmB,0.424,0.91,2,-3.615,1,0.327,7.54e-06,0.084,0.311,82.593,251907,4
NY Excuse,Soulwax,Any Minute Now,5nMaCWssqWOTZeBSCUOKk5,0.665,0.726,1,-5.888,1,0.051,0.9,0.109,0.789,133.344,289960,4
Out of Time,Blur,Think Tank (Special Edition),79PrPZu9zWyc1qwUwXchVl,0.529,0.455,0,-8.603,1,0.0274,0.00364,0.364,0.318,138.678,233373,4
Strict Machine,Goldfrapp,Black Cherry,5kNbpvJ5b6R9Zqfm6c9sIX,0.634,0.59,6,-7.66,1,0.0294,0.16,0.112,0.45,125.998,231453,4
I Look Into Mid Air,Rex The Dog,The Rex The Dog Show,2ToTmwJoGl28Hqp3kwRHlq,0.684,0.607,9,-10.765,1,0.0514,0.184,0.154,0.527,127.99,254000,4
Knuck If You Buck (feat. Lil' Scrappy),Crime Mob,Crime Mob,0RZXNlGPvfMo54fd6uCvAT,0.865,0.844,8,-4.946,1,0.311,0.0,0.373,0.755,150.09,205120,4
Hellhole Ratrace,Girls,Album,0YXMjHdefYCAgVrkYTeP2g,0.405,0.552,9,-7.37,1,0.0355,0.0,0.283,0.078,114.897,416987,4
Music Is Math,Boards of Canada,Geogaddi,3vBJYnujT3yxLjLEG1jtDS,0.542,0.799,2,-11.021,1,0.0414,0.932,0.461,0.116,99.976,321453,4
My Angel Rocks Back And Forth,Four Tet,Rounds,4NlNiZpsFG2klNWO6j46GJ,0.673,0.646,9,-10.598,1,0.0311,0.851,0.207,0.302,121.027,307333,4
Paradiso,Konono N°1,Congotronics,4GofXrGDmc57jtT4phANDF,0.641,0.674,1,-8.035,1,0.045,0.899,0.716,0.407,124.477,423987,4
Hoppípolla,Sigur Rós,Takk...,0yQPpUq5BJyqah5m2Q5Stt,0.316,0.684,11,-6.447,1,0.0327,0.215,0.219,0.175,139.863,268707,4
High Come Down,Junior Boys,Last Exit,1ctGc8EqWG7bzUfwW7FyA0,0.852,0.672,0,-10.168,1,0.0785,0.383,0.0268,0.897,130.076,269840,4
Once & Never Again,The Long Blondes,Someone To Drive You Home,1gC0eskmRIbPnPcszMXegJ,0.516,0.846,7,-4.651,1,0.0337,0.0,0.276,0.826,114.723,175920,4
Welfare Bread,King Khan and the Shrines,What Is?!,28GGwzfOfGB9YlfjjJbaiw,0.446,0.842,9,-1.293,1,0.0369,0.00483,0.146,0.844,131.895,248173,4
Girls Like Us,B15 Project,Girls Like Us,2kORFfHwy7w4a24WHrOb7b,0.791,0.86,7,-5.386,0,0.036,0.355,0.205,0.973,130.039,187527,4
Dracula Mountain,Lightning Bolt,Wonderful Rainbow,4WvK9KShAoU8hgrV98lONt,0.0932,0.997,1,-3.526,1,0.322,0.872,0.0741,0.0589,191.988,310947,4
Blinded by the Lights,The Streets,A Grand Don't Come for Free,6DoenX36UcAKSp6wR9UKxM,0.599,0.701,9,-5.718,0,0.568,0.0,0.102,0.669,133.046,284600,4
Romantic Rights,Death From Above 1979,"You're A Woman, I'm A Machine",0iHZnbbFHDO9MzHWlJI0Hb,0.516,0.961,5,-5.37,0,0.157,0.0,0.404,0.458,150.147,195107,4
The Lost Art Of Keeping A Secret,Queens of the Stone Age,Rated R,1RwDsaft1szD0FO3DVEtaT,0.544,0.791,1,-4.788,1,0.0353,0.00951,0.719,0.418,110.754,216000,4
Star Guitar,The Chemical Brothers,Come With Us,19mC6xktT1JyyycK6cQaXA,0.492,0.956,5,-4.186,1,0.0472,0.872,0.288,0.36,126.968,387173,4
Tears Dry On Their Own,Amy Winehouse,Back To Black (Deluxe Edition),7MDfN1ldfTMtuXXdVz2Pzc,0.634,0.543,1,-13.391,0,0.181,0.0,0.232,0.467,121.557,186440,4
Ibitsu,Boris,Akuma No Uta,7HuBJrexiZgH2UCOTnpBpY,0.135,0.994,10,-1.657,0,0.119,0.484,0.388,0.0937,159.904,201573,4
In the New Year,The Walkmen,You & Me,03F9c13uuAonNSjeFZCcJ9,0.118,0.741,4,-4.305,1,0.0421,0.592,0.347,0.245,164.624,262267,3
Off The Record,My Morning Jacket,Z,2LuaCTFQkHilH4a7jGj00J,0.352,0.654,6,-5.868,1,0.0315,0.000213,0.31,0.509,139.335,333800,4
Almost Ready,Dinosaur Jr.,Beyond,484RKkO9vsnnsPZhLoZHjh,0.177,0.968,7,-4.128,1,0.102,0.000761,0.365,0.249,159.506,188027,4
Tomorrow,Various Artists,Total 3,7dvQ9VHxTW52JIGboKjRWQ,0.594,0.358,0,-13.611,1,0.0348,0.681,0.0925,0.0476,94.487,383627,4
The Hand That Feeds,Nine Inch Nails,With Teeth,5ugzDiilhy6ILKmKfhEzd7,0.587,0.99,0,-4.496,1,0.0783,0.000668,0.104,0.486,127.992,211680,4
Taste,Magik Markers,BOSS,4V433Fm3e7X9fksUd5jq8x,0.506,0.775,2,-5.645,1,0.101,0.0279,0.305,0.366,137.056,259453,4
It Took the Night to Believe,Sunn 0))),Black One,7BzthK5pl4Z75h5eO3AtFK,0.13,0.568,9,-11.095,1,0.0386,0.845,0.156,0.168,82.392,356600,3
Black Rice,Women,Women,3v3UIx8EKXVGg7pxj8c45V,0.408,0.786,7,-5.231,1,0.0403,0.642,0.0721,0.645,99.228,194947,4
Handshake Drugs,Wilco,A Ghost Is Born (Deluxe Version),7wOXAS9DfepmybaTYyfYwd,0.458,0.458,2,-12.877,1,0.0302,0.351,0.13,0.737,114.111,363000,4
The Boom Boom Bap,Scritti Politti,White Bread Black Beer,2Jzejb1nTGwTKPZCMaiox4,0.536,0.296,4,-10.136,0,0.113,0.00096,0.0683,0.234,74.9,258933,4
"There She Goes, My Beautiful World",Nick Cave & The Bad Seeds,Abattoir Blues / The Lyre of Orpheus,4KQOt8UvwZmUF8sjT4Za50,0.338,0.916,7,-3.051,0,0.0657,0.0,0.114,0.493,126.936,317027,4
Golden Skans,Klaxons,Myths Of The Near Future,6BqWhxll86CGGE6WxgdRqG,0.463,0.836,2,-2.776,0,0.0381,7.38e-06,0.25,0.713,141.955,165120,4
Up With People,Lambchop,Nixon,4wyz3drf3rT3FWJhd25z3d,0.563,0.542,9,-12.888,1,0.0299,0.174,0.132,0.518,136.079,359293,4
All You Need Is Hate,The Delgados,Hate,6JPp23eYjbibVePaDI1H5O,0.241,0.705,3,-5.178,1,0.0343,1.69e-06,0.112,0.289,98.513,173733,4
"Notorious - Original 7"" Mix",Turbulence,Notorious,4WFsGFOQvDxw2FRjuVk74M,0.694,0.752,11,-5.557,0,0.208,0.0,0.127,0.352,155.018,265640,4
New World,Björk,"Selmasongs: Music from the Motion Picture ""Dancer in the Dark""",6tgLIvZaal11lbuSXv48BD,0.502,0.673,8,-8.82,1,0.0466,0.0379,0.111,0.245,145.956,261827,4
Mississippi,Bob Dylan,Love And Theft,6iCUV1fm0Ag3Jg8zFniarc,0.537,0.724,0,-7.505,1,0.0281,2.25e-05,0.114,0.697,79.583,321093,4
The Magic Position,Patrick Wolf,Sundark and Riverlight,0oBfrjRtYaCi82cAiHuo5W,0.515,0.487,11,-8.147,1,0.0293,0.124,0.139,0.47,145.071,232320,4
Last Days of Disco,Yo La Tengo,And Then Nothing Turned Itself Inside-Out,1DSUJ2JirCE4JVDyUTHD1b,0.515,0.311,2,-16.4,1,0.0323,0.698,0.0546,0.403,139.688,388067,3
Standing In the Way of Control,Gossip,Standing in the Way of Control,0hd4rC19ldUBmabhSHxiwS,0.697,0.919,7,-6.174,1,0.029,0.0621,0.203,0.943,118.341,256400,4
Sleeping Giant,Mastodon,Blood Mountain,1Ph2EtzV2wW7I4AC2YjoJn,0.232,0.919,0,-4.242,0,0.0457,0.401,0.0908,0.17,139.535,336293,4
The New Year,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),4Y2cR1AEADE6FyNVnuaWhZ,0.311,0.742,0,-7.844,0,0.0419,0.00147,0.124,0.19,123.572,246373,4
Overload,Sugababes,One Touch,7orBBkQgdmanhPCD0FyHHZ,0.735,0.942,6,-4.726,1,0.0626,0.000165,0.151,0.872,125.008,275920,4
A Sight To Behold,Devendra Banhart,Rejoicing In the Hands,3pKs8S6Xo1nSnE03P1lvC2,0.334,0.401,9,-10.007,0,0.0316,0.414,0.11,0.146,76.993,146360,4
Blood on My Hands,Shackleton,Soundboy Punishments,77YnquEJW9sIrfpeZxwSRG,0.774,0.597,6,-10.323,0,0.057,0.84,0.281,0.194,139.945,450413,4
Ch Ching - Cheque 1-2 Remix,Lady Sovereign,Vertically Challenged (Clean Ver),18JRreaQPlATJon1LWduqD,0.718,0.626,2,-4.343,1,0.16,0.0,0.0935,0.657,138.021,285093,4
Elephant Gun,Beirut,Artifacts,5loVmc3MmtYGsTw12eDgcU,0.211,0.708,8,-6.008,1,0.0507,0.00402,0.0742,0.476,179.794,345093,3
Time for Heroes,The Libertines,Up the Bracket,4J4LjEe33yN6gLmPib0nqz,0.344,0.925,2,-4.157,1,0.0554,0.000211,0.0136,0.712,152.395,160280,4
Wet And Rusting,Menomena,Friend And Foe,7kBe1MtZCV5LdVe9mjqXC5,0.541,0.545,8,-10.186,1,0.0325,0.338,0.381,0.357,141.695,213333,4
First Breath After Coma,Explosions In The Sky,The Earth Is Not a Cold Dead Place,3JEZsNaO2MkUfW4EliIPkH,0.318,0.479,4,-13.336,1,0.0313,0.682,0.268,0.057,119.534,574000,4
Adventure,be your own PET,Be Your Own Pet (Real Rhapsody),2oA4Inka3CQTPu7ALxfv49,0.307,0.955,9,-1.198,0,0.124,0.0301,0.301,0.462,121.189,152293,4
Chinese Translation,M. Ward,Post-War,66bI8teVSntNwjQGv3pRtF,0.552,0.726,2,-8.939,1,0.0373,0.000182,0.148,0.503,107.746,238600,4
In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),68Q4aLzOfQNWo8QQHa3lZw,0.658,0.445,5,-6.527,1,0.0343,0.608,0.271,0.942,119.99,226440,4
Utopia,Jackson And His Computer Band,Smash,41SQytKnyVIYO6hTVeJfQ0,0.661,0.82,1,-8.123,0,0.0671,0.228,0.496,0.478,114.873,352787,4
Golden,My Morning Jacket,It Still Moves,3kQDykkw9HVowlm3HxTcuR,0.566,0.479,5,-11.128,1,0.0254,0.00388,0.357,0.28,109.748,279240,4
Mary,Scissor Sisters,Scissor Sisters,5ZNKY1qpICJGbMIgu6qhO3,0.641,0.523,1,-7.355,0,0.0277,0.0166,0.15,0.183,144.075,281093,4
Always Wanting More,Jay Reatard,Matador Singles '08,2NjOIOOUrKtppENFdpOjxa,0.106,0.977,10,-3.003,1,0.127,5.53e-05,0.517,0.439,181.528,130120,4
Crusades,Fucked Up,Hidden World,6J2MuknEC9p5m2SRfIPH8a,0.145,0.979,2,-4.693,1,0.109,0.00127,0.0785,0.0783,180.031,403640,4
Wolf Among Wolves - Live,Bonnie Prince Billy,Is It The Sea?,3RnTKuxY6FAa60mLLKujBT,0.433,0.291,10,-11.646,1,0.0338,6.94e-06,0.655,0.2,99.997,285013,4
Black And White Town,Doves,The Places Between : The Best Of Doves,6gkgXsymOQxsxGVbG1iXbv,0.375,0.843,1,-4.982,1,0.0342,0.00181,0.0951,0.228,172.167,255693,4
Doctor Blind,Emily Haines & The Soft Skeleton,Knives Don't Have Your Back,4O2CUOV6VplGA9DEbTav4N,0.39,0.561,7,-7.731,0,0.0265,0.831,0.0742,0.181,132.694,237133,4
Far Away,Sleater-Kinney,One Beat (Remastered),7iFyqNSLv8mBOEnHIVWrT3,0.275,0.973,4,-4.187,1,0.0657,8.46e-06,0.346,0.671,158.184,224733,4
Fall from a Height - The Field Way,The Honeydrips,I Wouldn't Know What to Do,6pGKVhp059oTOqll5AdeaO,0.518,0.873,6,-6.765,0,0.0626,0.0106,0.144,0.118,125.985,449120,4
Where Do You Run To,Vivian Girls,Vivian Girls,4GYs5GoCaAGBMW2AA2hcVj,0.417,0.813,11,-6.003,0,0.0309,0.0104,0.227,0.693,140.911,195769,4
On My Block,Scarface,The Fix,5qPkEnq2wSbnLJTK31mZy4,0.833,0.918,10,-3.053,1,0.176,0.0,0.0535,0.646,82.772,214533,4
Carry Me Ohio,Sun Kil Moon,Ghosts of the Great Highway,6sNT5PF1SjTYgMiAIQGYMd,0.594,0.512,6,-8.872,1,0.0236,0.103,0.113,0.52,97.348,381040,4
The Start Of Something,Voxtrot,Raised By Wolves EP,6K5GAopLZzzg0ZX8k5GWwh,0.632,0.733,8,-6.924,1,0.0293,1.04e-05,0.0988,0.707,107.056,271747,4
How We Used to Live,Saint Etienne,Sound of Water,27hZgWtJc8UpkZ1k658KX7,0.404,0.486,11,-9.474,0,0.0292,0.0131,0.47,0.2,130.004,542040,4
What Ever Happened?,The Strokes,Room On Fire,78Gzxi27GuNHTfkn2BylG4,0.547,0.596,11,-6.044,1,0.0339,0.739,0.273,0.584,116.17,169507,4
You Can't Go Home Again,DJ Shadow,The Private Press (Expanded Edition),3B3RrQpEhggB4y8xpXNJPw,0.671,0.924,10,-6.784,0,0.0598,0.805,0.0427,0.965,162.503,423720,4
Bul ma miin,Orchestra Baobab,Specialist In All Styles,6Q9poOFoeNT9AXL2RIj1jd,0.574,0.757,9,-7.551,1,0.0512,0.00303,0.0834,0.655,138.548,362813,4
Alice Practice,Crystal Castles,Crystal Castles,5Y2YS9LVwVFqxcxkJJSbnr,0.588,0.729,1,-3.048,1,0.0899,0.000477,0.0724,0.492,131.18,161373,4
Wild Whiskey,Comets On Fire,Blue Cathedral,5fMMaxVX1Rz890QpfiTG2I,0.303,0.493,7,-8.78,0,0.0331,0.963,0.0663,0.114,142.78,180720,4
You Can't Hurry Love,The Concretes,The Concretes,6juk3VnEI6ONROpELkT8Cn,0.349,0.723,2,-5.189,1,0.0342,0.00575,0.325,0.775,138.804,122707,4
Human Animal,Wolf Eyes,Human Animal,0ePth2quI2H62GqfYxO5b4,0.139,0.876,6,-3.526,0,0.105,0.979,0.325,0.09,79.928,212533,4
Petrol,Ward 21,U Know How We Roll,40bRyPQLP3auI0q2FkHrNa,0.77,0.783,6,-6.655,0,0.289,0.0,0.28,0.698,79.864,212800,4
